Character Name,Unit Cost,Common/Unique,Hero/Squad,Faction,World,Species,Class,Personality,Base Size,Size,Height,Life,M,R,A,D,d20 Ability
Fyorlag Spiders,40,Common,Squad,Aquilla,,Wild,Arachnids,Scouts,Single,Small,2,1,7,1,2,2,No
Brave Arrow,50,Unique,Hero,Aquilla,,Human,Tribesman,Fearsome,Single,Medium,5,4,5,1,4,3,No
Mohican River Tribe,70,Common,Squad,Aquilla,,Human,Scouts,Fearsome,Single,Medium,5,1,5,6,2,1,No
The Axegrinders of Burning Forge,70,Common,Squad,Aquilla,,Dwarves,Fighters,Fearless,Single,Small,3,1,4,1,3,3,No
Granite Guardians,100,Common,Squad,Aquilla,,Elementars,Guards,Dauntless,Single,Medium,5,1,3,1,3,5,No
Quasatch Hunters,100,Common,Squad,Aquilla,,Quasatch,Hunters,Ferocious,Single,Medium,5,1,5,1,3,4,No
Migol Ironwill,110,Unique,Hero,Aquilla,,Dwarf,Leader,Resolute,Single,Small,3,5,5,1,2,4,No
Master Win Chiu Woo,140,Unique,Hero,Aquilla,,Human,Monk,Disciplined,Single,Medium,5,5,5,1,4,4,No
Sujoah,185,Unique,Hero,Aquilla,,Insect,Predator,Relentless,Single,Huge,6,6,8,1,4,4,No
Guilty McCreech,30,Unique,Hero,Einar,,Human,Lawman,Wild,Single,Medium,4,2,5,4,2,2,No
Ashigaru Yari,40,Common,Squad,Einar,,Human,Ashigaru,Disciplined,Single,Medium,5,1,5,1,2,1,No
Roman Legionnaires,50,Common,Squad,Einar,,Human,Soldier,Disciplined,Single,Medium,5,1,4,1,3,2,No
Sacred Band,50,Common,Squad,Einar,,Human,Soldiers,Disciplined,Single,Medium,5,1,4,1,3,2,No
Roman Archers,55,Common,Squad,Einar,,Human,Archers,Disciplined,Single,Medium,5,1,4,6,2,1,No
Ashigaru Harquebus,60,Common,Squad,Einar,,Human,Ashigaru,Disciplined,Single,Medium,5,1,5,6,2,1,No
Izumi Samurai,60,Unique,Squad,Einar,Earth,Human,Samurai,Disciplined,Single,Medium,5,1,6,1,2,5,No
Shiori (Swarm of the Marro),60,Unique,Hero,Einar,,Human,Ninja,Tricky,Single,Medium,4,3,6,1,3,3,No
Tagawa Samurai Archers,65,Common,Squad,Einar,,Human,Samurai,Disciplined,Single,Medium,5,1,5,6,2,3,No
Capuan Gladiators,70,Common,Squad,Einar,,Human,Gladiator,Rebellious,Single,Medium,5,1,5,1,3,3,No
10th Regiment of Foot,75,Common,Squad,Einar,,Human,Soldiers,Disciplined,Single,Medium,5,1,5,6,2,2,No
Crixus,90,Unique,Hero,Einar,,Human,Gladiator,Rebellious,Single,Medium,4,5,5,1,5,3,No
Empress Kiova,90,Unique,Hero,Einar,,Kyrie,Warrior,Disciplined,Single,Medium,6,5,5,1,3,4,No
Parmenio,90,Unique,Hero,Einar,,Human,Warlord,Disciplined,Single,Medium,5,5,5,1,3,3,No
Retiarius,90,Unique,Hero,Einar,,Human,Gladiator,Rebellious,Single,Medium,5,4,5,1,5,3,No
Gurei-Oni,100,Unique,Hero,Einar,,Ogre,Guard,Tormenting,Single,Large,7,4,5,1,4,4,No
Kozuke Samurai,100,Unique,Squad,Einar,,Human,Samurai,Disciplined,Single,Medium,4,1,5,1,5,3,No
Marcus Decimus Gallus,100,Unique,Hero,Einar,,Human,Warlord,Disciplined,Single,Medium,5,6,5,1,3,3,No
Ninjas of the Northern Wind,110,Unique,Squad,Einar,,Human,Ninja,Disciplined,Single,Medium,4,1,6,1,4,3,No
Valguard,110,Unique,Hero,Einar,,Human,Warlord,Wild,Single,Medium,5,7,5,1,2,4,No
Kaemon Awa,120,Unique,Hero,Einar,,Human,Samurai,Disciplined,Single,Medium,5,4,5,7,4,4,No
Tagawa Samurai,120,Unique,Squad,Einar,,Human,Samurai,Disciplined,Single,Medium,5,1,6,1,3,5,No
Hatamoto Taro,130,Unique,Hero,Einar,,Human,Samurai,Disciplined,Single,Medium,5,5,5,1,2,2,No
The Einar Imperium,140,Common,Squad,Einar,,Kyrie,Soldiers,Disciplined,Single,Medium,5,1,5,1,3,3,No
Zelrig,185,Unique,Hero,Einar,,Dragon,Dragon,Disciplined,Single,Huge,11,6,6,1,4,4,No
Kato Katsuro,200,Unique,Hero,Einar,,Human,,Disciplined,Single,Medium,5,5,6,1,4,4,No
Spartacus,200,Unique,Hero,Einar,,Human,Gladiator,Rebellious,Single,Medium,5,5,5,1,6,4,No
Eldgrim the Viking Champion,30,Unique,Hero,Jandar,Earth,Human,Champion,Valiant,Single,Medium,4,3,5,1,2,2,No
Omnicron Repulsors,40,Common,Squad,Jandar,,Soulborg,Repulsors,Precise,Single,Small,3,1,5,7,1,3,No
